iso,country_name,year,region,state_legit,rule_of_law,gov_effectiveness,gdp,donor,sids
BRN,Brunei Darussalam,2010,Southeast Asia,2.3,0.7792174,0.9017023000000001,33.43712173,1,0
BTN,Bhutan,2010,South Asia,3.0999999999999996,0.1618841,0.5844976,2.235322677,0,0
CHN,People's Republic of China,2010,East Asia,1.6999999999999993,-0.40990190000000004,0.08854830000000001,5.6470587519999995,1,0
FJI,Fiji,2010,Oceania,1.0999999999999996,-0.8484084999999999,-0.7242482,4.5238662640000005,0,1
FSM,Federated States of Micronesia,2010,Oceania,3.4000000000000004,-0.1015308,-0.8025251,3.0847539100000003,0,1
GEO,Georgia,2010,Central and West Asia,1,-0.2096013,0.3091346,3.1007234269999997,0,0
IDN,Indonesia,2010,Southeast Asia,3.0999999999999996,-0.6399844,-0.2143717,2.7201916219999998,1,0
IND,India,2010,South Asia,4.2,-0.0373795,0.0258973,1.2443660159999999,1,0
JPN,Japan,2010,East Asia,8.2,1.3263909999999999,1.527408,32.94220208,1,0
KAZ,Kazakhstan,2010,Central and West Asia,2.5,-0.6158918999999999,-0.4361446,8.979332284,1,0
KGZ,Kyrgyz Republic,2010,Central and West Asia,1.5999999999999996,-1.266846,-0.6517149999999999,0.9661507300000001,0,0
KHM,Cambodia,2010,Southeast Asia,1.3000000000000007,-1.118496,-0.9429736999999999,0.8921004421000001,0,0
KOR,Republic of Korea,2010,East Asia,6.1,1.0038989999999999,1.204439,25.45100416,1,0
LAO,Lao People's Democratic Republic,2010,Southeast Asia,1.6999999999999993,-0.9797619000000001,-0.8600155999999999,1.5862029300000002,0,0
LKA,Sri Lanka,2010,South Asia,1.4000000000000004,-0.1214751,-0.1950748,2.950390721,0,0
MDV,Maldives,2010,South Asia,2.7,-0.3370196,-0.20719829999999997,8.521838104999999,0,1
MMR,Myanmar,2010,Southeast Asia,0.40000000000000036,-1.547695,-1.61781,0.9025418710000002,0,0
MNG,Mongolia,2010,East Asia,3.8,-0.3602034,-0.572001,2.629648326,0,0
MYS,Malaysia,2010,Southeast Asia,4.1,0.47818140000000003,1.1203020000000001,8.247782262000001,1,0
NPL,Nepal,2010,South Asia,1.9000000000000004,-0.9518496,-0.8735381999999999,0.7316618132999999,0,0
NZL,New Zealand,2010,Oceania,9,1.869271,1.8164040000000001,35.406676749999995,1,0
PAK,Pakistan,2010,South Asia,1.0999999999999996,-0.7387066,-0.7658636999999999,1.238873484,0,0
PHL,Philippines,2010,Southeast Asia,1.4000000000000004,-0.5525689,0.0014643,2.433008524,0,0
PNG,Papua New Guinea,2010,Oceania,2.2,-0.9091606,-0.7185656,2.235096323,0,1
SGP,Singapore,2010,Southeast Asia,5.8,1.6259620000000001,2.2410650000000003,48.66857662,1,1
SLB,Solomon Islands,2010,Oceania,1.9000000000000004,-0.6517897,-0.9544448,2.0993308170000002,0,1
THA,Thailand,2010,Southeast Asia,2,-0.2046878,0.18764909999999999,5.163597664,1,0
TJK,Tajikistan,2010,Central and West Asia,1.0999999999999996,-1.209445,-0.9184213,0.7835193787000001,0,0
TKM,Turkmenistan,2010,Central and West Asia,1.5999999999999996,-1.487252,-1.563445,4.265948601,0,0
TLS,Timor-Leste,2010,Southeast Asia,0.9000000000000004,-1.167089,-1.224391,1.185623103,0,1
UZB,Uzbekistan,2010,Central and West Asia,1.5,-1.41596,-0.7137956999999999,2.131357731,0,0
VNM,Viet Nam,2010,Southeast Asia,2.7,-0.5913824000000001,-0.2591993,1.6482618,0,0
WSM,Samoa,2010,Oceania,3.5999999999999996,0.6666054,-0.0391048,4.080918359,0,1
AFG,Afghanistan,2011,South Asia,0.3000000000000007,-1.8965459999999998,-1.448444,0.5119985148,0,0
ARM,Armenia,2011,Central and West Asia,3.4000000000000004,-0.4409416,-0.12899059999999998,3.098742304,0,0
AUS,Australia,2011,Oceania,8.4,1.742514,1.695814,54.108111060000006,1,0
AZE,Azerbaijan,2011,Central and West Asia,2.3,-0.8936627,-0.7651435999999999,5.152657444,0,0
BGD,Bangladesh,2011,South Asia,2,-0.7323930999999999,-0.7552108000000001,1.024021957,0,0
BRN,Brunei Darussalam,2011,Southeast Asia,2.3,0.8499598,0.8969321,34.244206899999995,1,0
BTN,Bhutan,2011,South Asia,3.4000000000000004,0.1955945,0.6325497,2.3866211109999997,0,0
CHN,People's Republic of China,2011,East Asia,2.0999999999999996,-0.46481000000000006,0.0881574,6.152686005,1,0
FJI,Fiji,2011,Oceania,1.4000000000000004,-0.8244902,-0.7061993000000001,4.626683325,0,1
FSM,Federated States of Micronesia,2011,Oceania,3.7,-0.0612899,-0.7549848000000001,3.166743858,0,1
GEO,Georgia,2011,Central and West Asia,1.5999999999999996,-0.1242663,0.5535932,3.356997868,0,0
IDN,Indonesia,2011,Southeast Asia,3.3,-0.5929989,-0.25944839999999997,2.8493549849999997,1,0
IND,India,2011,South Asia,4.2,-0.0906831,0.0059228,1.2928212060000002,1,0
JPN,Japan,2011,East Asia,8,1.311966,1.4725469999999998,33.01113423,1,0
KAZ,Kazakhstan,2011,Central and West Asia,2.8,-0.5734760999999999,-0.40985420000000006,9.506734053,1,0
KGZ,Kyrgyz Republic,2011,Central and West Asia,1,-1.19029,-0.6379873,1.0113155289999998,0,0
KHM,Cambodia,2011,Southeast Asia,1.5,-1.0449899999999999,-0.8627386999999999,0.9401118195,0,0
KOR,Republic of Korea,2011,East Asia,6.3,1.025932,1.252658,26.18689754,1,0
LAO,Lao People's Democratic Republic,2011,Southeast Asia,2,-1.000485,-0.8338406999999999,1.687147369,0,0
LKA,Sri Lanka,2011,South Asia,1.5,-0.1222856,-0.1114646,3.176920341,0,0
MDV,Maldives,2011,South Asia,2.5999999999999996,-0.5539944,-0.3059395,8.892911397,0,1
MMR,Myanmar,2011,Southeast Asia,0.3000000000000007,-1.438391,-1.596782,0.9629954521999999,0,0
MNG,Mongolia,2011,East Asia,4.1,-0.2670228,-0.5857348000000001,3.0281616600000003,0,0
MYS,Malaysia,2011,Southeast Asia,4,0.4786735,1.021066,8.550154638,1,0
NPL,Nepal,2011,South Asia,2.0999999999999996,-0.8866997,-0.9025426999999999,0.7559141323999999,0,0
NZL,New Zealand,2011,Oceania,8.9,1.90442,1.877416,35.93070084,1,0
PAK,Pakistan,2011,South Asia,1.4000000000000004,-0.9018267,-0.817893,1.245737437,0,0
PHL,Philippines,2011,Southeast Asia,1.6999999999999993,-0.5110275,0.0902608,2.484489204,0,0
PNG,Papua New Guinea,2011,Oceania,2.5,-0.8055715999999999,-0.7111115,2.210952146,0,1
SGP,Singapore,2011,Southeast Asia,6.1,1.66993,2.154623,50.685296199999996,1,1
SLB,Solomon Islands,2011,Oceania,2.0999999999999996,-0.5232059,-0.8646513000000001,2.195183955,0,1
THA,Thailand,2011,Southeast Asia,1.5999999999999996,-0.2038983,0.2058027,5.1820423689999995,1,0
TJK,Tajikistan,2011,Central and West Asia,1.0999999999999996,-1.22634,-0.9482636000000001,0.8229032077,0,0
TKM,Turkmenistan,2011,Central and West Asia,1.5999999999999996,-1.456832,-1.603811,4.810896165999999,0,0
TLS,Timor-Leste,2011,Southeast Asia,1.1999999999999993,-1.175452,-1.153561,1.234078226,0,1
UZB,Uzbekistan,2011,Central and West Asia,1.5999999999999996,-1.445755,-0.6850357,2.2310527239999995,0,0
VNM,Viet Nam,2011,Southeast Asia,2.5,-0.5448651999999999,-0.232533,1.7333112850000003,0,0
WSM,Samoa,2011,Oceania,3.8,0.6886985999999999,-0.009481100000000001,4.213825349,0,1
AFG,Afghanistan,2012,South Asia,0.5,-1.6430810000000002,-1.360196,0.5579496921,0,0
ARM,Armenia,2012,Central and West Asia,3.2,-0.4178914000000001,-0.042368800000000005,3.312980008,0,0
AUS,Australia,2012,Oceania,8.7,1.7668580000000003,1.62129,55.254606210000006,1,0
AZE,Azerbaijan,2012,Central and West Asia,2,-0.8344684000000001,-0.7827144,5.194738377,0,0
BGD,Bangladesh,2012,South Asia,1.8000000000000007,-0.9292566999999999,-0.804239,1.078287546,0,0
BRN,Brunei Darussalam,2012,Southeast Asia,2.5999999999999996,0.7930172,0.8434001,34.09690756,1,0
BTN,Bhutan,2012,South Asia,3.7,0.23630210000000001,0.5124978,2.4791517229999998,0,0
CHN,People's Republic of China,2012,East Asia,2.0999999999999996,-0.5428619,0.0233264,6.591650851,1,0
FJI,Fiji,2012,Oceania,1.1999999999999993,-0.7911764,-0.8380788,4.683226283,0,1
FSM,Federated States of Micronesia,2012,Oceania,3.7,-0.015527200000000001,-0.6433704,3.0761654050000002,0,1
GEO,Georgia,2012,Central and West Asia,1.5,-0.0145602,0.6057203,3.597203764,0,0
IDN,Indonesia,2012,Southeast Asia,3.3,-0.5756522,-0.27300100000000005,2.98061011,1,0
IND,India,2012,South Asia,4.5,-0.0719577,-0.17104460000000002,1.3466759099999999,1,0
JPN,Japan,2012,East Asia,7.5,1.357793,1.415494,33.51844494,1,0
KAZ,Kazakhstan,2012,Central and West Asia,2.5,-0.6845781999999999,-0.4403299,9.823693897,1,0
KGZ,Kyrgyz Republic,2012,Central and West Asia,1.3000000000000007,-1.129424,-0.649578,0.9937374232999999,0,0
KHM,Cambodia,2012,Southeast Asia,1.8000000000000007,-0.9796243,-0.8159052,0.9925498342,0,0
KOR,Republic of Korea,2012,East Asia,6.8,0.9841591000000001,1.1991969999999998,26.675440169999998,1,0
LAO,Lao People's Democratic Republic,2012,Southeast Asia,1.6999999999999993,-0.8515941999999999,-0.8377884,1.7951376309999998,0,0
LKA,Sri Lanka,2012,South Asia,1.9000000000000004,-0.12236960000000001,-0.20762460000000002,3.462936684,0,0
MDV,Maldives,2012,South Asia,2.0999999999999996,-0.5417812,-0.2152527,8.732629171,0,1
MMR,Myanmar,2012,Southeast Asia,0.5999999999999996,-1.354667,-1.481443,1.017014364,0,0
MNG,Mongolia,2012,East Asia,4.4,-0.3754402,-0.6362302,3.335793592,0,0
MYS,Malaysia,2012,Southeast Asia,3.5,0.4650094,0.9197366,8.888702521999999,1,0
NPL,Nepal,2012,South Asia,2,-0.735665,-0.9827667,0.7909881496000001,0,0
NZL,New Zealand,2012,Oceania,9.2,1.8904849999999997,1.8008520000000001,36.53493666,1,0
PAK,Pakistan,2012,South Asia,1.6999999999999993,-0.8841760000000001,-0.7780076,1.262299215,0,0
PHL,Philippines,2012,Southeast Asia,2.0999999999999996,-0.5231332999999999,0.10808920000000001,2.610967768,0,0
PNG,Papua New Guinea,2012,Oceania,2.4000000000000004,-0.8362243,-0.7407335999999999,2.265764413,0,1
SGP,Singapore,2012,Southeast Asia,6.5,1.7310990000000002,2.165925,51.6634924,1,1
SLB,Solomon Islands,2012,Oceania,2.4000000000000004,-0.5399753,-0.8060813,2.1775409870000004,0,1
THA,Thailand,2012,Southeast Asia,3.5,-0.1510798,0.2245758,5.531349018999999,1,0
TJK,Tajikistan,2012,Central and West Asia,1.1999999999999993,-1.20035,-0.9312043999999999,0.8647004429999999,0,0
TKM,Turkmenistan,2012,Central and West Asia,1,-1.402587,-1.257159,5.249704149,0,0
TLS,Timor-Leste,2012,Southeast Asia,1.5,-1.1448639999999999,-1.180872,1.271304649,0,1
UZB,Uzbekistan,2012,Central and West Asia,1.3000000000000007,-1.290145,-0.9106965,2.354593655,0,0
VNM,Viet Nam,2012,Southeast Asia,2.5,-0.5515664,-0.2699399,1.8053611699999998,0,0
WSM,Samoa,2012,Oceania,4,0.6759908,-0.0191277,4.007084965,0,1
AFG,Afghanistan,2013,South Asia,0.5999999999999996,-1.597348,-1.385382,0.5689645435,0,0
ARM,Armenia,2013,Central and West Asia,3.4000000000000004,-0.34427209999999997,0.0688658,3.406536118,0,0
AUS,Australia,2013,Oceania,9,1.7785349999999998,1.6400549999999998,55.72394823,1,0
AZE,Azerbaijan,2013,Central and West Asia,1.8000000000000007,-0.7239093000000001,-0.4752991,5.425905285,0,0
BGD,Bangladesh,2013,South Asia,1.6999999999999993,-0.8668659,-0.7941526,1.129993548,0,0
